L 0.00135938  RL 8.65452e-05 0.0016644 0.000393126 LL 4.87789e-05        0        0  
misfit  1.23828 Rm  1.24866  1.03266   1.1432 Lm  1.57545        0        0
Npara 65  Ngroup 3 Nlayer 22
     1.578      2.278    3.34314    3.40033     5.8505    5.90032   0.976506    42.3229    25.6947     3.5285    3.81661    6.17487    6.42192   0.904774    42.3229    25.6947    3.61378    3.77199    6.32411    6.46104   0.943981    42.3229    25.6947     3.8498      3.861    6.73715    6.74694   0.995841    42.3229    25.6947      4.236    4.53432      7.413      7.413          1 -0.00468115 0.00374332      4.186     4.4808      7.326      7.326          1 -0.00468115 0.00374332      4.183    4.47759       7.32       7.32          1 -0.00468115 0.00374332      4.279    4.58035      7.488      7.488          1 -0.00468115 0.00374332       4.49    4.80621      7.858      7.858          1 -0.00468115 0.00374332 
     depth        vsv        vsh        vpv        vph      theta        phi         qs         qp        rho       vpvs     (null)
         0      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2 2.17645e-317
     0.085      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2 2.17645e-317
     0.085      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2 2.17645e-317
      0.17      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2 2.17645e-317
      0.17    3.34314    3.40033     5.8505    5.90032    42.3229    25.6947        600       1400    2.69692       1.75 2.17645e-317
   10.6582    3.34314    3.40033     5.8505    5.90032    42.3229    25.6947        600       1400    2.69692       1.75 2.17645e-317
   10.6582     3.5285    3.81661    6.17487    6.42192    42.3229    25.6947        400        900     2.7873       1.75 2.17645e-317
   21.1465     3.5285    3.81661    6.17487    6.42192    42.3229    25.6947        400        900     2.7873       1.75 2.17645e-317
   21.1465    3.61378    3.77199    6.32411    6.46104    42.3229    25.6947        400        900     2.8496       1.75 2.17645e-317
   31.6348    3.61378    3.77199    6.32411    6.46104    42.3229    25.6947        400        900     2.8496       1.75 2.17645e-317
   31.6348     3.8498      3.861    6.73715    6.74694    42.3229    25.6947        400        900    2.95979       1.75 2.17645e-317
    42.123     3.8498      3.861    6.73715    6.74694    42.3229    25.6947        400        900    2.95979       1.75 2.17645e-317
    42.123      4.236    4.53432      7.413      7.413 -0.00468115 0.00374332        400        900    3.21042       1.75 2.17645e-317
   73.6986      4.236    4.53432      7.413      7.413 -0.00468115 0.00374332        400        900    3.21042       1.75 2.17645e-317
   73.6986      4.186     4.4808      7.326      7.326 -0.00468115 0.00374332         80        200    3.17909       1.75 2.17645e-317
   105.274      4.186     4.4808      7.326      7.326 -0.00468115 0.00374332         80        200    3.17909       1.75 2.17645e-317
   105.274      4.183    4.47759       7.32       7.32 -0.00468115 0.00374332         80        200    3.17693       1.75 2.17645e-317
    136.85      4.183    4.47759       7.32       7.32 -0.00468115 0.00374332         80        200    3.17693       1.75 2.17645e-317
    136.85      4.279    4.58035      7.488      7.488 -0.00468115 0.00374332         80        200    3.23743       1.75 2.17645e-317
   168.425      4.279    4.58035      7.488      7.488 -0.00468115 0.00374332         80        200    3.23743       1.75 2.17645e-317
   168.425       4.49    4.80621      7.858      7.858 -0.00468115 0.00374332         80        200    3.37067       1.75 2.17645e-317
   200.001       4.49    4.80621      7.858      7.858 -0.00468115 0.00374332         80        200    3.37067       1.75 2.17645e-317
