L 0.00173353  RL 0.00220215 0.000204216 0.00286317 LL 0.00136464        0        0  
misfit  1.12762 Rm  1.00981  1.18998 0.987912 Lm  1.28422        0        0
Npara 65  Ngroup 3 Nlayer 22
     1.578      2.278    3.35935      3.396    5.87886    5.91085   0.984755          0          0     3.5902    3.66105    6.28285    6.34454    0.97309          0          0    3.68459    3.74447    6.44804    6.50022   0.977628          0          0      3.816    3.87623    6.67799    6.73049   0.978242          0          0      4.236    4.48294      7.413      7.413          1 -0.0132446   0.000629      4.186    4.43003      7.326      7.326          1 -0.0132446   0.000629      4.183    4.42685       7.32       7.32          1 -0.0132446   0.000629      4.279    4.52845      7.488      7.488          1 -0.0132446   0.000629       4.49    4.75175      7.858      7.858          1 -0.0132446   0.000629 
     depth        vsv        vsh        vpv        vph      theta        phi         qs         qp        rho       vpvs     (null)
         0      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2 2.17645e-317
     0.085      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2 2.17645e-317
     0.085      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2 2.17645e-317
      0.17      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2 2.17645e-317
      0.17    3.35935      3.396    5.87886    5.91085          0          0        600       1400    2.69692       1.75 2.17645e-317
   10.6582    3.35935      3.396    5.87886    5.91085          0          0        600       1400    2.69692       1.75 2.17645e-317
   10.6582     3.5902    3.66105    6.28285    6.34454          0          0        400        900     2.7873       1.75 2.17645e-317
   21.1465     3.5902    3.66105    6.28285    6.34454          0          0        400        900     2.7873       1.75 2.17645e-317
   21.1465    3.68459    3.74447    6.44804    6.50022          0          0        400        900     2.8496       1.75 2.17645e-317
   31.6348    3.68459    3.74447    6.44804    6.50022          0          0        400        900     2.8496       1.75 2.17645e-317
   31.6348      3.816    3.87623    6.67799    6.73049          0          0        400        900    2.95979       1.75 2.17645e-317
    42.123      3.816    3.87623    6.67799    6.73049          0          0        400        900    2.95979       1.75 2.17645e-317
    42.123      4.236    4.48294      7.413      7.413 -0.0132446   0.000629        400        900    3.21042       1.75 2.17645e-317
   73.6986      4.236    4.48294      7.413      7.413 -0.0132446   0.000629        400        900    3.21042       1.75 2.17645e-317
   73.6986      4.186    4.43003      7.326      7.326 -0.0132446   0.000629         80        200    3.17909       1.75 2.17645e-317
   105.274      4.186    4.43003      7.326      7.326 -0.0132446   0.000629         80        200    3.17909       1.75 2.17645e-317
   105.274      4.183    4.42685       7.32       7.32 -0.0132446   0.000629         80        200    3.17693       1.75 2.17645e-317
    136.85      4.183    4.42685       7.32       7.32 -0.0132446   0.000629         80        200    3.17693       1.75 2.17645e-317
    136.85      4.279    4.52845      7.488      7.488 -0.0132446   0.000629         80        200    3.23743       1.75 2.17645e-317
   168.425      4.279    4.52845      7.488      7.488 -0.0132446   0.000629         80        200    3.23743       1.75 2.17645e-317
   168.425       4.49    4.75175      7.858      7.858 -0.0132446   0.000629         80        200    3.37067       1.75 2.17645e-317
   200.001       4.49    4.75175      7.858      7.858 -0.0132446   0.000629         80        200    3.37067       1.75 2.17645e-317
