L 0.000123048  RL 0.00215759 0.000127623 0.000332413 LL 0.000177332 6.43124e-05 1.31579e-07  
misfit  1.40621 Rm   1.0115  1.22246  1.15536 Lm  1.38544  2.19679  2.81457
Npara 65  Ngroup 3 Nlayer 22
     1.578      2.278    3.37412    3.45275    5.90471    5.97311   0.903245    32.2431    113.536    3.41993    3.65305    5.98487    6.18544   0.723143    32.2431    113.536    3.68016    3.74866    6.44027    6.49994   0.922536    32.2431    113.536    3.81603    3.94034    6.67804    6.78594   0.865373    32.2431    113.536      4.236    4.48209      7.413      7.413          1 -0.00175747 0.00943742      4.186    4.42919      7.326      7.326          1 -0.00175747 0.00943742      4.183    4.42601       7.32       7.32          1 -0.00175747 0.00943742      4.279    4.52759      7.488      7.488          1 -0.00175747 0.00943742       4.49    4.75085      7.858      7.858          1 -0.00175747 0.00943742 
     depth        vsv        vsh        vpv        vph      theta        phi         qs         qp        rho       vpvs
         0      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2
     0.085      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2
     0.085      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2
      0.17      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2
      0.17    3.37412    3.45275    5.90471    5.97311    32.2431    113.536        600       1400    2.69692       1.75
   10.6582    3.37412    3.45275    5.90471    5.97311    32.2431    113.536        600       1400    2.69692       1.75
   10.6582    3.41993    3.65305    5.98487    6.18544    32.2431    113.536        400        900     2.7873       1.75
   21.1465    3.41993    3.65305    5.98487    6.18544    32.2431    113.536        400        900     2.7873       1.75
   21.1465    3.68016    3.74866    6.44027    6.49994    32.2431    113.536        400        900     2.8496       1.75
   31.6348    3.68016    3.74866    6.44027    6.49994    32.2431    113.536        400        900     2.8496       1.75
   31.6348    3.81603    3.94034    6.67804    6.78594    32.2431    113.536        400        900    2.95979       1.75
    42.123    3.81603    3.94034    6.67804    6.78594    32.2431    113.536        400        900    2.95979       1.75
    42.123      4.236    4.48209      7.413      7.413 -0.00175747 0.00943742        400        900    3.21042       1.75
   73.6986      4.236    4.48209      7.413      7.413 -0.00175747 0.00943742        400        900    3.21042       1.75
   73.6986      4.186    4.42919      7.326      7.326 -0.00175747 0.00943742         80        200    3.17909       1.75
   105.274      4.186    4.42919      7.326      7.326 -0.00175747 0.00943742         80        200    3.17909       1.75
   105.274      4.183    4.42601       7.32       7.32 -0.00175747 0.00943742         80        200    3.17693       1.75
    136.85      4.183    4.42601       7.32       7.32 -0.00175747 0.00943742         80        200    3.17693       1.75
    136.85      4.279    4.52759      7.488      7.488 -0.00175747 0.00943742         80        200    3.23743       1.75
   168.425      4.279    4.52759      7.488      7.488 -0.00175747 0.00943742         80        200    3.23743       1.75
   168.425       4.49    4.75085      7.858      7.858 -0.00175747 0.00943742         80        200    3.37067       1.75
   200.001       4.49    4.75085      7.858      7.858 -0.00175747 0.00943742         80        200    3.37067       1.75
