L 7.81788e-14  RL 5.79396e-16 0.000257011 0.000263658 LL 9.94025e-05 0.00702109 4.3471e-07  
misfit  3.18011 Rm  4.02019  1.17377  1.17195 Lm  1.43111  1.57462  2.70634
Npara 65  Ngroup 3 Nlayer 22
     1.578      2.278    3.39201    3.42572    5.93602    5.96544   0.958463          0          0    3.58438     3.6192    6.27267    6.30307   0.959398          0          0    3.67994    3.70665     6.4399    6.46323   0.969629          0          0    3.87502    3.90438    6.78128    6.80692   0.968298          0          0      4.236    4.49617      7.413      7.413          1 -0.00286003  0.0145115      4.186     4.4431      7.326      7.326          1 -0.00286003  0.0145115      4.183    4.43991       7.32       7.32          1 -0.00286003  0.0145115      4.279    4.54181      7.488      7.488          1 -0.00286003  0.0145115       4.49    4.76577      7.858      7.858          1 -0.00286003  0.0145115 
     depth        vsv        vsh        vpv        vph      theta        phi         qs         qp        rho       vpvs
         0      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2
     0.085      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2
     0.085      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2
      0.17      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2
      0.17    3.39201    3.42572    5.93602    5.96544          0          0        600       1400    2.69692       1.75
   10.6582    3.39201    3.42572    5.93602    5.96544          0          0        600       1400    2.69692       1.75
   10.6582    3.58438     3.6192    6.27267    6.30307          0          0        400        900     2.7873       1.75
   21.1465    3.58438     3.6192    6.27267    6.30307          0          0        400        900     2.7873       1.75
   21.1465    3.67994    3.70665     6.4399    6.46323          0          0        400        900     2.8496       1.75
   31.6348    3.67994    3.70665     6.4399    6.46323          0          0        400        900     2.8496       1.75
   31.6348    3.87502    3.90438    6.78128    6.80692          0          0        400        900    2.95979       1.75
    42.123    3.87502    3.90438    6.78128    6.80692          0          0        400        900    2.95979       1.75
    42.123      4.236    4.49617      7.413      7.413 -0.00286003  0.0145115        400        900    3.21042       1.75
   73.6986      4.236    4.49617      7.413      7.413 -0.00286003  0.0145115        400        900    3.21042       1.75
   73.6986      4.186     4.4431      7.326      7.326 -0.00286003  0.0145115         80        200    3.17909       1.75
   105.274      4.186     4.4431      7.326      7.326 -0.00286003  0.0145115         80        200    3.17909       1.75
   105.274      4.183    4.43991       7.32       7.32 -0.00286003  0.0145115         80        200    3.17693       1.75
    136.85      4.183    4.43991       7.32       7.32 -0.00286003  0.0145115         80        200    3.17693       1.75
    136.85      4.279    4.54181      7.488      7.488 -0.00286003  0.0145115         80        200    3.23743       1.75
   168.425      4.279    4.54181      7.488      7.488 -0.00286003  0.0145115         80        200    3.23743       1.75
   168.425       4.49    4.76577      7.858      7.858 -0.00286003  0.0145115         80        200    3.37067       1.75
   200.001       4.49    4.76577      7.858      7.858 -0.00286003  0.0145115         80        200    3.37067       1.75
