#number of receivers"
          11
#name (4 characters), latitude, longitude in degrees
109C   32.889 -117.105  
_AAK   42.639   74.494  
ACSO   40.232  -82.982  
AHID   42.765 -111.100  
_AML   42.131   73.694  
ANMO   34.946 -106.457  
ANTO   39.869   32.794  
_APE   37.069   25.531  
_AQU   42.354   13.405  
_ARU   56.430   58.562  
_ARV   35.127 -118.830  
ASCN   -7.933  -14.360  
_BAK   35.344 -119.104  
_BAR   32.680 -116.672  
_BBR   34.262 -116.921  
BBSR   32.371  -64.696  
_BC3   33.655 -115.454  
_BCC   33.575 -117.261  
_BDM   37.954 -121.866  
_BEL   34.001 -115.998  
_BFO   48.332    8.331  
_BFS   34.237 -117.658  
BILL   68.065  166.452  
_BJT   40.018  116.168  
_BKS   37.876 -122.236  
_BMN   40.431 -117.221  
_BNI   45.052    6.678  
BORG   64.747  -21.327  
_BRK   37.873 -122.261  
BRVK   53.058   70.283  
BVDA2   33.327 -116.366  
_BZN   33.492 -116.667  
CART   37.587   -1  
CASY  -66.279  110.536  
_CCM   38.056  -91.245  
_CEL   38.260   15.894  
_CHF   34.333 -118.026  
_CHM   42.999   74.751  
_CIA   33.402 -118.415  
_CMB   38.035 -120.387  
_CMB   38.035 -120.387  
COLA   64.874 -147.851  
_COR   44.586 -123.303  
_CRY   33.565 -116.737  
_CSS   34.961   33.331  
CTAO  -20.088  146.255  
_CUC   39.993   15.815  
_CVS   38.345 -122.458  
_CWC   36.440 -118.080  
_DEC   34.254 -118.334  
_DGR   33.650 -117.009  
_DJJ   34.106 -118.454  
_DPC   50.358   16.411  
_DPP   32.999 -116.942  
_DRE   32.805 -115.447  
_DSB   53.245   -6.376  
_DVT   32.659 -116.101  
DWPF   28.110  -81.433  
EDW2   34.881 -117.994  
_EFI  -51.675  -58.064  
_EIL   29.670   34.951  
EKS2   42.661   73.777  
_ESK   55.317   -3.205  
FARB   37.698 -123.001  
_FFC   54.725 -101.978  
_FMP   33.713 -118.294  
_FRD   33.495 -116.602  
_GLA   33.052 -114.827  
_GNI   40.148   44.741  
GOGA   33.411  -83.467  
_GRA   36.996 -117.366  
GRFO   49.692   11.222  
_GSC   35.302 -116.806  
_GVD   34.839   24.087  
_HEC   34.829 -116.335  
_HKT   29.962  -95.838  
_HLG   54.185    7.884  
HOPE  -54.284  -36.488  
HOPS   38.993 -123.072  
_HRV   42.506  -71.558  
HUMO   42.607 -122.957  
HWUT   41.607 -111.565  
IBBN   52.307    7.757  
_IDI   35.288   24.890  
INCN   37.483  126.633  
_IRM   34.157 -115.145  
_ISA   35.663 -118.474  
_ISP   37.843   30.509  
_JCC   40.818 -124.030  
_JCS   33.086 -116.596  
JRSC   37.404 -122.239  
_KBK   42.656   74.948  
_KCC   37.324 -119.319  
KDAK   57.783 -152.583  
_KIP   21.423 -158.015  
_KIV   43.955   42.686  
KMBO   -1.127   37.252  
_KNW   33.714 -116.712  
KONO   59.649    9.598  
KSDI   33.192   35.659  
_KWP   49.630   22.708  
LAST   35.161   25.479  
_LGU   34.108 -119.066  
_LRL   35.480 -117.682  
_LSZ  -15.277   28.188  
_LTH   46.462 -119.418  
_LTL   30.537  -90.766  
LVA2   33.352 -116.562  
_MA2   59.576  150.770  
MAJO   36.542  138.207  
MAUI   20.767 -156.245  
_MDJ   44.616  129.592  
MELI   35.294   -2.935  
_MHC   37.342 -121.643  
MIDW   28.216 -177.370  
MNRC   38.879 -122.443  
_MOD   41.903 -120.303  
MONP   32.893 -116.423  
MORC   49.777   17.543  
_MPM   36.058 -117.489  
_MPP   34.889 -119.814  
_MSO   46.829 -113.941  
_MTE   40.400   -7.544  
_MWC   34.224 -118.053  
_NEE   34.825 -114.599  
_NEW   48.263 -117.120  
NHSC   33.107  -80.178  
NWAO  -32.927  117.233  
_OBN   55.114   36.569  
_ORV   39.554 -121.500  
_OSI   34.614 -118.724  
PACP   37.008 -121.287  
_PAL   46  -73.908  
_PAS   34.148 -118.171  
_PDM   34.303 -114.142  
_PET   53.023  158.650  
_PFO   33.609 -116.455  
_PHL   35.408 -120.546  
_PKD   35.945 -120.542  
_PLM   33.354 -116.863  
PMSA  -64.774  -64.049  
POHA   19.757 -155.533  
POTR   38.203 -121.935  
_PSZ   47.918   19.894  
R04C   38.257 -120.936  
RAMR   35.636 -120.870  
_RAR  -21.213 -159.773  
RCBR   -5.828  -35.901  
_RCT   36.305 -119.244  
_RDM   33.630 -116.848  
_RGN   54.548   13.321  
_RPN  -27.127 -109.334  
_RPV   33.743 -118.404  
_RRX   34.875 -116.997  
_RUE   52.476   13.780  
_RVR   33.993 -117.375  
SANT   36.371   25.459  
_SAO   36.764 -121.447  
_SBA  -77.849  166.757  
_SBC   34.441 -119.715  
SCI2   32.980 -118.547  
SDCO   37.746 -105.501  
_SDP   34.566 -120.501  
_SFS   36.466   -6.205  
_SHO   35.900 -116.275  
SIUC   37.715  -89.217  
_SLA   35.891 -117.283  
_SLM   38.636  -90.236  
SMER   33.458 -117.171  
_SMM   35.314 -119.996  
SNAA  -71.671   -2.838  
SNCC   33.248 -119.524  
_SND   33.552 -116.613  
_SOL   32.841 -117.248  
SSPA   40.640  -77.891  
_STU   48.772    9.195  
_SUR  -32.380   20.812  
_SUW   54.013   23.181  
_SVD   34.106 -117.098  
_SWS   32.941 -115.796  
TATO   24.975  121.488  
_TAU  -42.910  147.320  
_TIN   37.054 -118.230  
_TIP   39.179   16.758  
TIRR   44.458   28.413  
TIXI   71.649  128.867  
_TLY   51.681  103.644  
