# depth        vsv        vsh        vpv        vph      theta        phi         qs         qp        rho       vpvs     (null)
         0      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2 2.17645e-317
     0.085      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2 2.17645e-317
     0.085      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2 2.17645e-317
      0.17      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2 2.17645e-317
      0.17    3.33689       3.44    5.83956    5.92909    41.0018    24.3268        600       1400    2.69692       1.75 2.17645e-317
   10.6582    3.33689       3.44    5.83956    5.92909    41.0018    24.3268        600       1400    2.69692       1.75 2.17645e-317
   10.6582    3.54648    3.74532    6.20633    6.37791    41.0018    24.3268        400        900     2.7873       1.75 2.17645e-317
   21.1465    3.54648    3.74532    6.20633    6.37791    41.0018    24.3268        400        900     2.7873       1.75 2.17645e-317
   21.1465    3.64774    3.81595    6.38355    6.52905    41.0018    24.3268        400        900     2.8496       1.75 2.17645e-317
   31.6348    3.64774    3.81595    6.38355    6.52905    41.0018    24.3268        400        900     2.8496       1.75 2.17645e-317
   31.6348    3.77894    3.94817    6.61315    6.75958    41.0018    24.3268        400        900    2.95979       1.75 2.17645e-317
    42.123    3.77894    3.94817    6.61315    6.75958    41.0018    24.3268        400        900    2.95979       1.75 2.17645e-317
    42.123      4.236    4.48294      7.413      7.413 -0.0132446   0.000629        400        900    3.21042       1.75 2.17645e-317
   73.6986      4.236    4.48294      7.413      7.413 -0.0132446   0.000629        400        900    3.21042       1.75 2.17645e-317
   73.6986      4.186    4.43003      7.326      7.326 -0.0132446   0.000629         80        200    3.17909       1.75 2.17645e-317
   105.274      4.186    4.43003      7.326      7.326 -0.0132446   0.000629         80        200    3.17909       1.75 2.17645e-317
   105.274      4.183    4.42685       7.32       7.32 -0.0132446   0.000629         80        200    3.17693       1.75 2.17645e-317
    136.85      4.183    4.42685       7.32       7.32 -0.0132446   0.000629         80        200    3.17693       1.75 2.17645e-317
    136.85      4.279    4.52845      7.488      7.488 -0.0132446   0.000629         80        200    3.23743       1.75 2.17645e-317
   168.425      4.279    4.52845      7.488      7.488 -0.0132446   0.000629         80        200    3.23743       1.75 2.17645e-317
   168.425       4.49    4.75175      7.858      7.858 -0.0132446   0.000629         80        200    3.37067       1.75 2.17645e-317
   200.001       4.49    4.75175      7.858      7.858 -0.0132446   0.000629         80        200    3.37067       1.75 2.17645e-317
