# depth        vsv        vsh        vpv        vph      theta        phi         qs         qp        rho       vpvs
         0      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2
     0.085      1.578      1.578      3.156      3.156          0          0         80        160    1.67748          2
     0.085      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2
      0.17      2.278      2.278      4.556      4.556          0          0         80        160    2.18162          2
      0.17    3.31368    3.46591    5.79894    5.93063    33.6992    113.126        600       1400    2.69692       1.75
   10.6582    3.31368    3.46591    5.79894    5.93063    33.6992    113.126        600       1400    2.69692       1.75
   10.6582    3.50407    3.66056    6.13212    6.26753    33.6992    113.126        400        900     2.7873       1.75
   21.1465    3.50407    3.66056    6.13212    6.26753    33.6992    113.126        400        900     2.7873       1.75
   21.1465    3.62272    3.73719    6.33976    6.43913    33.6992    113.126        400        900     2.8496       1.75
   31.6348    3.62272    3.73719    6.33976    6.43913    33.6992    113.126        400        900     2.8496       1.75
   31.6348    3.81153     3.9381    6.67018    6.78001    33.6992    113.126        400        900    2.95979       1.75
    42.123    3.81153     3.9381    6.67018    6.78001    33.6992    113.126        400        900    2.95979       1.75
    42.123      4.236    4.49617      7.413      7.413 -0.00286003  0.0145115        400        900    3.21042       1.75
   73.6986      4.236    4.49617      7.413      7.413 -0.00286003  0.0145115        400        900    3.21042       1.75
   73.6986      4.186     4.4431      7.326      7.326 -0.00286003  0.0145115         80        200    3.17909       1.75
   105.274      4.186     4.4431      7.326      7.326 -0.00286003  0.0145115         80        200    3.17909       1.75
   105.274      4.183    4.43991       7.32       7.32 -0.00286003  0.0145115         80        200    3.17693       1.75
    136.85      4.183    4.43991       7.32       7.32 -0.00286003  0.0145115         80        200    3.17693       1.75
    136.85      4.279    4.54181      7.488      7.488 -0.00286003  0.0145115         80        200    3.23743       1.75
   168.425      4.279    4.54181      7.488      7.488 -0.00286003  0.0145115         80        200    3.23743       1.75
   168.425       4.49    4.76577      7.858      7.858 -0.00286003  0.0145115         80        200    3.37067       1.75
   200.001       4.49    4.76577      7.858      7.858 -0.00286003  0.0145115         80        200    3.37067       1.75
